,nflId,name,position,weight,age,height,speed_2018,speed_2019,speed_2020,dis_2018,dis_2019,dis_2020,Acc_2018,Acc_2019,Acc_2020
0,28955,Larry Fitzgerald,WR,218,39,6.2,4.5,4.0,6.5,11.2,11.0,24.0,3.5,3.2,3.9
1,29141,Andy Lee,P,185,40,6.1,7.1,8.0,5.2,174.0,115.3,93.8,3.4,3.4,3.0
2,29468,Don Muhlbach,LS,258,41,6.3,8.0,7.8,7.2,207.8,184.7,155.2,4.7,4.0,3.5
3,29874,Mike Nugent,K,190,40,5.8,7.1,4.1,6.7,178.7,21.9,224.2,5.0,3.9,5.1
4,29926,Dustin Colquitt,P,210,40,6.2,7.9,7.5,7.6,71.7,88.8,94.0,3.0,3.3,3.1
5,30403,Robbie Gould,K,190,39,6.0,5.0,7.4,7.6,20.2,26.0,39.2,3.2,3.4,3.1
6,30452,L.P. Ladouceur,LS,256,41,6.4,8.5,8.0,8.0,187.8,140.7,124.6,4.6,4.0,3.7
7,30869,Andrew Whitworth,T,330,40,6.6,4.4,4.7,2.4,20.2,17.0,11.7,1.8,2.0,2.9
8,30932,Stephen Gostkowski,K,215,38,6.1,9.0,8.6,8.2,210.2,201.4,192.0,5.2,5.2,5.1
9,30937,Domata Peko,NT,325,37,6.2,7.4,3.6,7.0,25.0,14.2,34.0,4.0,4.1,4.8
10,31018,Sam Koch,P,222,40,6.1,8.9,8.2,6.6,139.6,87.0,94.0,3.8,3.5,3.3
11,31446,Matt Prater,K,201,38,5.8,5.6,7.9,7.9,32.5,67.3,63.1,4.2,4.9,4.7
12,31517,Tramon Williams,CB,192,39,5.9,9.3,7.7,9.8,95.1,62.8,297.0,5.2,4.4,5.5
13,32202,Ted Ginn,WR,180,37,5.9,5.4,6.6,9.3,39.4,32.5,93.5,4.4,3.9,5.8
14,32224,Greg Olsen,TE,255,37,6.4,7.0,6.2,7.4,31.6,13.1,25.8,2.8,3.2,3.6
15,32386,Mason Crosby,K,207,38,6.1,7.1,6.9,7.8,193.0,159.4,153.5,4.6,4.9,4.6
16,32436,Clark Harris,LS,250,38,6.4,9.2,8.9,8.7,222.8,192.7,213.9,5.0,4.1,4.2
17,33107,Duane Brown,T,315,37,6.3,3.2,1.7,1.0,15.1,7.0,1.8,1.8,1.7,1.0
18,33131,Calais Campbell,DT,300,36,6.7,7.1,4.1,4.4,70.3,37.2,37.8,3.7,3.0,3.0
19,33221,Brandon Carr,CB,210,36,6.0,9.5,9.9,3.4,49.6,115.4,5.6,5.9,5.2,3.6
20,33234,Matt Slater,WR,205,37,6.0,10.7,10.4,10.6,840.6,872.6,725.2,7.3,6.9,6.7
21,33338,Brett Kern,P,214,36,6.2,7.4,7.1,6.4,126.3,123.1,75.3,3.3,3.1,3.1
22,33469,Stephen Hauschka,K,210,37,6.3,8.2,7.4,3.3,146.8,147.7,22.5,4.5,5.5,4.9
23,33557,J.J. Jansen,LS,235,36,6.2,8.6,8.4,8.2,175.5,229.8,143.6,4.6,4.5,4.2
24,33566,Danny Amendola,WR,185,37,5.9,8.3,7.6,8.7,51.8,58.9,46.5,4.7,5.2,4.8
25,34465,Malcolm Jenkins,SS,204,34,6.0,9.0,9.5,6.9,201.1,158.8,43.6,6.6,5.6,5.3
26,34593,Kevin Huber,P,211,37,6.1,9.3,7.4,6.7,137.3,112.1,128.5,4.2,3.3,3.1
27,34615,Thomas Morstead,P,235,36,6.3,9.1,9.7,8.6,101.2,118.0,120.5,2.7,3.3,2.9
28,34654,Jason McCourty,CB,195,35,5.9,10.0,10.3,9.5,182.5,83.5,167.3,4.9,5.1,5.1
29,34683,Julian Edelman,WR,200,36,5.8,8.5,7.7,6.7,102.0,50.6,24.2,5.2,3.8,2.8
30,34707,Ryan Succop,K,218,36,6.2,8.4,7.3,4.8,190.0,157.2,27.9,4.9,5.0,4.2
31,34723,Britton Colquitt,P,210,37,6.2,7.6,6.2,7.5,156.3,102.1,110.6,4.3,3.2,3.2
